Source;Month of Year;Device Category;Ad Content;Sessions;Users;New Users;Pageviews;Session Duration;Calculated AToS
MediaIQ;202104;;SDPCrossixSegment.NU1624UnbrandedSymp.320;281;247;246;310,00;3970,00;1:06:10
MediaIQ;202104;;SDPSwoopSegment.NU1624UnbrandedSymp.320;83;80;80;87,00;523,00;0:08:43
MediaIQ;202104;;SDPCrossixSegment.NU1624UnbrandedSymp.300;33;33;33;33,00;0,00;0:00:00
MediaIQ;202104;;SDPCrossixSegment.NU1559Branded.300;32;32;32;83,00;540,00;0:09:00
MediaIQ;202104;;SDPCrossixSegment.NU1623Unbranded50.300;32;32;32;34,00;251,00;0:04:11
MediaIQ;202104;;SDPSwoopSegment.NU1559Branded.300;26;25;25;67,00;400,00;0:06:40
MediaIQ;202104;;SDPSwoopSegment.NU1624UnbrandedSymp.728;25;25;25;27,00;2070,00;0:34:30
MediaIQ;202104;;SDPSwoopSegment.NU1624UnbrandedSymp.300;24;24;24;24,00;0,00;0:00:00
MediaIQ;202104;;SDPSwoopSegment.NU1559Branded.728;22;22;22;38,00;88,00;0:01:28
MediaIQ;202104;;SDPSwoopSegment.NU1623Unbranded50.300;22;22;22;22,00;0,00;0:00:00
MediaIQ;202104;;SDPSwoopSegment.NU1623Unbranded50.728;21;21;21;21,00;0,00;0:00:00
MediaIQ;202104;;SDPCrossixSegment.NU1624UnbrandedSymp.728;13;13;13;13,00;0,00;0:00:00
MediaIQ;202104;;SDPCrossixSegment.NU1559Branded.728;12;12;12;40,00;186,00;0:03:06
MediaIQ;202104;;SDPCrossixSegment.NU1623Unbranded50.728;12;12;12;12,00;0,00;0:00:00
MediaIQ;202104;;SDPCrossixSegment.NU1559Branded.160;7;7;7;53,00;415,00;0:06:55
MediaIQ;202104;;SDPCrossixSegment.NU1623Unbranded50.160;6;6;5;6,00;0,00;0:00:00
MediaIQ;202104;;SDPCrossixSegment.NU1624UnbrandedSymp.160;6;6;6;6,00;0,00;0:00:00
MediaIQ;202104;;SDPSwoopSegment.NU1559Branded.160;5;5;5;16,00;132,00;0:02:12
MediaIQ;202104;;SDPSwoopSegment.NU1623Unbranded50.160;5;5;5;5,00;0,00;0:00:00
MediaIQ;202104;;SDPSwoopSegment.NU1624UnbrandedSymp.160;4;4;4;4,00;0,00;0:00:00
MediaIQ;202104;;MiQSDPCrossixSegment.NU1624UnbrandedSymp.300;2;1;0;2,00;0,00;0:00:00
MediaIQ;202104;;MiQSDPCrossixSegment.NU1624UnbrandedSymp.160;1;1;0;1,00;0,00;0:00:00
MediaIQ;202104;;MiQSDPCrossixSegment.NU1624UnbrandedSymp.320;1;1;1;1,00;0,00;0:00:00
Medicx;202104;;SDPCustomCaregiver.NU1624UnbrandedSymp.320;136;130;131;146,00;4396,00;1:13:16
Medicx;202104;;SDPCustomPatient.NU1624UnbrandedSymp.320;97;93;93;102,00;1051,00;0:17:31
Medicx;202104;;SDPCustomPatient.NU1559Branded.300;76;75;75;376,00;3558,00;0:59:18
Medicx;202104;;SDPCustomCaregiver.NU1559Branded.300;64;64;64;295,00;2771,00;0:46:11
Medicx;202104;;SDPCustomCaregiver.NU1559Branded.728;36;35;35;195,00;1728,00;0:28:48
Medicx;202104;;SDPCustomCaregiver.NU1624UnbrandedSymp.300;32;30;30;35,00;312,00;0:05:12
Medicx;202104;;SDPCustomPatient.NU1559Branded.160;23;23;23;210,00;1596,00;0:26:36
Medicx;202104;;SDPCustomPatient.NU1624UnbrandedSymp.300;22;21;21;29,00;373,00;0:06:13
Medicx;202104;;SDPCustomCaregiver.NU1623Unbranded50.300;21;21;21;23,00;462,00;0:07:42
Medicx;202104;;SDPCustomPatient.NU1559Branded.728;19;19;19;190,00;985,00;0:16:25
Medicx;202104;;SDPCustomCaregiver.NU1559Branded.160;18;18;18;139,00;976,00;0:16:16
Medicx;202104;;SDPCustomPatient.NU1623Unbranded50.300;17;16;16;17,00;0,00;0:00:00
Medicx;202104;;SDPCustomCaregiver.NU1624UnbrandedSymp.728;14;14;14;14,00;0,00;0:00:00
Medicx;202104;;SDPCustomPatient.NU1624UnbrandedSymp.728;12;12;12;12,00;0,00;0:00:00
Medicx;202104;;SDPCustomCaregiver.NU1623Unbranded50.728;11;10;10;13,00;11,00;0:00:11
Medicx;202104;;SDPCustomCaregiver.NU1623Unbranded50.160;8;8;8;8,00;0,00;0:00:00
Medicx;202104;;SDPCustomPatient.NU1623Unbranded50.728;7;7;7;7,00;0,00;0:00:00
Medicx;202104;;SDPCustomCaregiver.NU1624UnbrandedSymp.160;6;6;6;7,00;0,00;0:00:00
Medicx;202104;;SDPCustomPatient.NU1623Unbranded50.160;5;5;5;6,00;27,00;0:00:27
Medicx;202104;;SDPCustomPatient.NU1624UnbrandedSymp.160;5;5;5;5,00;0,00;0:00:00
Medicx;202104;;MedicxSDPCustomCaregiver.NU1624UnbrandedSymp.320;1;1;1;1,00;0,00;0:00:00
MiQ;202104;;MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728;17;7;5;18,00;260,00;0:04:20
MiQ;202104;;MiQCrossixTargeting.SD_1623_v3_50.728;4;2;0;4,00;0,00;0:00:00
MiQ;202104;;MiQPredictTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728;3;3;3;3,00;0,00;0:00:00
MiQ;202104;;MiQCrossixTargeting.Dermicool_SDP_DTP_Unbranded_50Messaging.728;2;2;1;2,00;0,00;0:00:00
MiQ;202104;;MiQCrossixTargeting.SD_1624_v3_Symptom.728;1;1;0;1,00;0,00;0:00:00
MiQ;202104;;MiQPredictTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728;1;1;1;1,00;0,00;0:00:00
ParkinsonsNewsToday;202104;;ROS.NU1623Unbranded50.300;55;45;40;76,00;2946,00;0:49:06
ParkinsonsNewsToday;202104;;ROS.NU1559Branded.300;51;48;45;70,00;2084,00;0:34:44
ParkinsonsNewsToday;202104;;ROS.NU1624UnbrandedSymp.300;37;36;32;47,00;801,00;0:13:21
ParkinsonsNewsToday;202104;;ROS.NU1623Unbranded50.728;13;13;13;17,00;1503,00;0:25:03
ParkinsonsNewsToday;202104;;ROS.NU1624UnbrandedSymp.728;13;13;10;15,00;1640,00;0:27:20
ParkinsonsNewsToday;202104;;ROS.NU1559Branded.728;11;10;10;11,00;411,00;0:06:51
ParkinsonsNewsToday;202104;;PNT_ROS_Display.Dermicool_SDP_DTP_TalkToYourDoctor.300;2;2;1;2,00;59,00;0:00:59
ParkinsonsNewsToday;202104;;PNT_ROS_Display.SD_1624_v3_Symptom.300;1;1;1;1,00;418,00;0:06:58
ParkinsonsNewsToday;202104;;PNT_ROS_Display.Dermicool_SDP_DTP_Unbranded_50Messaging.300;1;1;1;1,00;0,00;0:00:00
PulsePoint;202104;;PulsePointConditionPopulation.SD_1624_v3_Symptom.728;1;1;1;1,00;0,00;0:00:00
PulsePoint;202104;;PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.300;1;1;1;1,00;0,00;0:00:00
PulsePoint;202104;;PulsePointConditionPopulation.Dermicool_SDP_DTP_TalkToYourDoctor.728;1;1;0;1,00;0,00;0:00:00
RemedyHealth;202104;;SDSDisplayMedia.NU1559Branded.300;3;3;2;3,00;0,00;0:00:00
RemedyHealth;202104;;SDSDisplayMedia.NU1559Branded.728;1;1;0;1,00;0,00;0:00:00
Sharecare;202104;;SharecareSDPPerformanceDisplay.NU1559Branded.1;333;304;302;468,00;27157,00;7:32:37
Sharecare;202104;;SDPPerformanceDisplay.NU1559Branded.1;89;87;86;116,00;6290,00;1:44:50
Sharecare;202104;;SDPMR.NU1559Branded.300;55;54;53;174,00;1026,00;0:17:06
Sharecare;202104;;SDPMR.NU1623Unbranded50.300;47;46;45;54,00;1244,00;0:20:44
Sharecare;202104;;SDPMR.NU1624UnbrandedSymp.300;43;43;43;45,00;357,00;0:05:57
Sharecare;202104;;SDPPerformanceDisplay.NU1559Branded.300;26;24;24;35,00;2519,00;0:41:59
Sharecare;202104;;SDPMR.NU1559Branded.728;15;15;15;156,00;813,00;0:13:33
Sharecare;202104;;SDPMR.NU1559Branded.160;7;7;7;18,00;107,00;0:01:47
Sharecare;202104;;SDPMR.NU1624UnbrandedSymp.160;6;6;6;7,00;1,00;0:00:01
Sharecare;202104;;SDPMR.NU1624UnbrandedSymp.728;5;5;5;5,00;0,00;0:00:00
Sharecare;202104;;SharecarePerformanceDisplay.Dermicool_SDP_DTP_TalkToYourDoctor.1;5;2;1;5,00;0,00;0:00:00
Sharecare;202104;;SDPMR.NU1623Unbranded50.160;4;4;4;4,00;0,00;0:00:00
Sharecare;202104;;SDPMR.NU1623Unbranded50.728;4;4;4;5,00;0,00;0:00:00
Swoop;202104;;SDPCustom.NU1559Branded.728;268;210;208;440,00;1787,00;0:29:47
Swoop;202104;;SDPCustom.NU1624UnbrandedSymp.728;227;198;195;237,00;6264,00;1:44:24
Swoop;202104;;SDPCustom.NU1623Unbranded50.728;196;166;164;200,00;995,00;0:16:35
Swoop;202104;;SDPCustom.NU1559Branded.300;114;87;85;205,00;3215,00;0:53:35
Swoop;202104;;SDPCustom.NU1624UnbrandedSymp.300;74;59;58;94,00;2004,00;0:33:24
Swoop;202104;;SDPCustom.NU1623Unbranded50.300;45;30;30;54,00;221,00;0:03:41
Swoop;202104;;SDPCustom.NU1559Branded.160;9;9;9;91,00;638,00;0:10:38
Swoop;202104;;SDPCustom.NU1624UnbrandedSymp.160;7;7;7;12,00;21,00;0:00:21
Swoop;202104;;SDPCustom.NU1623Unbranded50.160;4;4;3;5,00;4,00;0:00:04
Swoop;202104;;SwoopSDPCustom.NU1624UnbrandedSymp.728;3;3;3;4,00;787,00;0:13:07
Swoop;202104;;SwoopSDPCustom.NU1559Branded.728;2;2;1;2,00;0,00;0:00:00
Swoop;202104;;SwoopSDPCustom.NU1623Unbranded50.728;1;1;1;1,00;0,00;0:00:00
WebMD;202104;;AudienceSDOnly.NU1559Branded.300;109;100;95;131,00;4936,00;1:22:16
WebMD;202104;;RotationalBannerSDConditionCenter.NU1559Branded.300;102;98;97;131,00;3539,00;0:58:59
WebMD;202104;;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.300;89;85;82;109,00;3996,00;1:06:36
WebMD;202104;;RotationalBannerSDConditionCenter.NU1623Unbranded50.300;67;59;57;77,00;4251,00;1:10:51
WebMD;202104;;AudienceSDOnly.NU1624UnbrandedSymp.300;54;50;46;68,00;4249,00;1:10:49
WebMD;202104;;AudienceSDOnly.NU1623Unbranded50.300;32;31;30;47,00;3261,00;0:54:21
WebMD;202104;;RotationalBannerSDConditionCenter.NU1559Branded.160;16;13;12;18,00;222,00;0:03:42
WebMD;202104;;AudienceSDOnly.NU1559Branded.728;11;11;11;11,00;54,00;0:00:54
WebMD;202104;;RotationalBannerSDConditionCenter.NU1559Branded.728;11;11;11;12,00;335,00;0:05:35
WebMD;202104;;RotationalBannerSDConditionCenter.NU1623Unbranded50.160;10;10;10;13,00;367,00;0:06:07
WebMD;202104;;AudienceSDOnly.NU1559Branded.160;9;9;8;13,00;439,00;0:07:19
WebMD;202104;;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.160;8;8;7;8,00;347,00;0:05:47
WebMD;202104;;AudienceSDOnly.NU1623Unbranded50.728;6;6;6;6,00;0,00;0:00:00
WebMD;202104;;AudienceSDOnly.NU1624UnbrandedSymp.728;6;6;6;6,00;145,00;0:02:25
WebMD;202104;;RotationalBannerSDConditionCenter.NU1623Unbranded50.728;6;6;5;10,00;686,00;0:11:26
WebMD;202104;;RotationalBannerSDConditionCenter.NU1624UnbrandedSymp.728;6;6;6;6,00;0,00;0:00:00
WebMD;202104;;AudienceSDOnly.NU1624UnbrandedSymp.160;3;3;3;3,00;0,00;0:00:00
WebMD;202104;;WebMDRotationalBannerSDConditionCenter.NU1623Unbranded50.728;3;1;0;4,00;991,00;0:16:31
WebMD;202104;;NUMonographAV.NU1559Branded.300;2;2;0;2,00;147,00;0:02:27
WebMD;202104;;NUMonographAV.NU1623Unbranded50.300;2;2;1;2,00;0,00;0:00:00
WebMD;202104;;AudienceSDOnly.NU1623Unbranded50.160;1;1;1;1,00;0,00;0:00:00
WebMD;202104;;NUMonographAV.NU1559Branded.160;1;1;1;1,00;0,00;0:00:00
WebMD;202104;;NUMonographAV.NU1559Branded.728;1;1;1;2,00;95,00;0:01:35
WebMD;202104;;NUMonographAV.NU1623Unbranded50.160;1;1;1;1,00;0,00;0:00:00
WebMD;202104;;NUMonographAV.NU1624UnbrandedSymp.300;1;1;1;2,00;134,00;0:02:14
WebMD;202104;;WebMDAudienceSDOnly.NU1624UnbrandedSymp.300;1;1;0;1,00;0,00;0:00:00
WebMD;202104;;WebMDRotationalBannerSDConditionCenter.NU1559Branded.300;1;1;1;1,00;0,00;0:00:00
Zeta;202104;;SDPCrossix.NU1624UnbrandedSymp.320;176;163;156;187,00;1015,00;0:16:55
Zeta;202104;;SDPSwoop.NU1624UnbrandedSymp.320;135;126;126;146,00;830,00;0:13:50
Zeta;202104;;SDPCrossix.NU1559Branded.728;87;87;87;355,00;3025,00;0:50:25
Zeta;202104;;SDPCrossix.NU1623Unbranded50.728;62;62;62;67,00;99,00;0:01:39
Zeta;202104;;SDPCrossix.NU1624UnbrandedSymp.728;62;62;61;62,00;0,00;0:00:00
Zeta;202104;;SDPCrossix.NU1559Branded.300;41;41;41;220,00;1493,00;0:24:53
Zeta;202104;;SDPCrossix.NU1559Branded.160;40;40;40;244,00;1828,00;0:30:28
Zeta;202104;;SDPSwoop.NU1559Branded.160;39;38;38;207,00;1443,00;0:24:03
Zeta;202104;;SDPSwoop.NU1559Branded.300;34;34;34;205,00;1468,00;0:24:28
Zeta;202104;;SDPCrossix.NU1624UnbrandedSymp.300;33;33;33;37,00;160,00;0:02:40
Zeta;202104;;SDPCrossix.NU1623Unbranded50.160;31;31;31;31,00;0,00;0:00:00
Zeta;202104;;SDPSwoop.NU1559Branded.728;30;29;28;207,00;1108,00;0:18:28
Zeta;202104;;SDPCrossix.NU1624UnbrandedSymp.160;29;29;29;31,00;43,00;0:00:43
Zeta;202104;;SDPCrossix.NU1623Unbranded50.300;26;26;26;29,00;4,00;0:00:04
Zeta;202104;;SDPSwoop.NU1624UnbrandedSymp.300;16;16;16;17,00;38,00;0:00:38
Zeta;202104;;SDPSwoop.NU1623Unbranded50.160;15;15;15;15,00;0,00;0:00:00
Zeta;202104;;SDPSwoop.NU1624UnbrandedSymp.728;14;14;14;16,00;75,00;0:01:15
Zeta;202104;;SDPSwoop.NU1623Unbranded50.728;9;8;8;9,00;0,00;0:00:00
Zeta;202104;;SDPSwoop.NU1624UnbrandedSymp.160;9;9;9;9,00;0,00;0:00:00
Zeta;202104;;SDPSwoop.NU1623Unbranded50.300;5;5;5;6,00;38,00;0:00:38
Zeta;202104;;ZetaSDPCrossix.NU1624UnbrandedSymp.320;3;3;1;3,00;0,00;0:00:00
Zeta;202104;;ZetaSDPCrossix.NU1624UnbrandedSymp.160;1;1;0;1,00;0,00;0:00:00
Aptus;202105;desktop;AptusDermicoolLTCDTP.NU1545.320x50;7;6;5;12;4806;1:20:06
Aptus;202105;desktop;AptusDermicoolLTCDTP.NU1546.300x250;1;1;1;1;0;0:00:00
Aptus;202105;desktop;DistributionDTC.NU1623Unbranded50.300;18;18;17;18;0;0:00:00
Aptus;202105;desktop;DistributionDTC.NU1623Unbranded50.320;4;1;0;5;9;0:00:09
Aptus;202105;desktop;DistributionDTC.NU1624UnbrandedSymp.300;12;11;10;13;409;0:06:49
Aptus;202105;desktop;DistributionDTC.NU1624UnbrandedSymp.320;56;56;56;56;0;0:00:00
Aptus;202105;desktop;DistributionDTC.NU1715.1;2;2;2;2;0;0:00:00
GoodRx;202105;desktop;BSDermicool.NU1559Branded.160;3;1;0;4;41;0:00:41
GoodRx;202105;desktop;BSDermicool.NU1559Branded.728;3;2;1;3;11;0:00:11
GoodRx;202105;desktop;BSDermicoolParkinsonDisease.NU1559Branded.728;2;2;2;3;0;0:00:00
GoodRx;202105;desktop;BSDermicoolQuetiapine.NU1559Branded.300;2;1;1;3;4;0:00:04
GoodRx;202105;desktop;BSDermicoolQuetiapine.NU1559Branded.728;5;5;5;5;0;0:00:00
HealthUnion;202105;desktop;ConditionCenter.NU1559Branded.160;6;6;6;6;90;0:01:30
HealthUnion;202105;desktop;ConditionCenter.NU1559Branded.300;7;7;6;9;631;0:10:31
HealthUnion;202105;desktop;ConditionCenter.NU1559Branded.728;5;5;5;6;16;0:00:16
HealthUnion;202105;desktop;ConditionCenter.NU1623Unbranded50.160;1;1;1;1;0;0:00:00
HealthUnion;202105;desktop;ConditionCenter.NU1623Unbranded50.300;4;3;3;6;1466;0:24:26
HealthUnion;202105;desktop;ConditionCenter.NU1623Unbranded50.728;3;3;3;3;0;0:00:00
HealthUnion;202105;desktop;ConditionCenter.NU1624UnbrandedSymp.160;1;1;1;1;0;0:00:00
HealthUnion;202105;desktop;ConditionCenter.NU1624UnbrandedSymp.300;3;3;2;3;728;0:12:08
HealthUnion;202105;desktop;HealthUnionSDDisplay.NU1624UnbrandedSymp.160;1;1;0;1;0;0:00:00
HealthUnion;202105;desktop;SDDisplay.NU1623Unbranded50.300;2;2;2;2;0;0:00:00
HealthUnion;202105;desktop;SDDisplay.NU1624UnbrandedSymp.300;2;2;2;2;68;0:01:08
HealthUnion;202105;desktop;SDDisplayAV.NU1559Branded.300;1;1;1;1;0;0:00:00
HealthUnion;202105;desktop;SDDisplayAV.NU1559Branded.728;1;1;0;1;0;0:00:00
HealthUnion;202105;desktop;SDDisplayAV.NU1624UnbrandedSymp.300;1;1;0;1;0;0:00:00
MediaIQ;202105;desktop;SDPCrossixSegment.NU1559Branded.160;5;5;4;49;434;0:07:14
MediaIQ;202105;desktop;SDPCrossixSegment.NU1559Branded.300;9;9;9;79;695;0:11:35
MediaIQ;202105;desktop;SDPCrossixSegment.NU1559Branded.728;5;5;5;33;197;0:03:17
MediaIQ;202105;desktop;SDPCrossixSegment.NU1623Unbranded50.160;2;2;2;2;0;0:00:00
MediaIQ;202105;desktop;SDPCrossixSegment.NU1623Unbranded50.300;7;7;7;7;0;0:00:00
MediaIQ;202105;desktop;SDPCrossixSegment.NU1623Unbranded50.728;1;1;1;1;0;0:00:00
MediaIQ;202105;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.160;8;8;8;8;0;0:00:00
MediaIQ;202105;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.300;14;14;14;15;7;0:00:07
MediaIQ;202105;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.320;19;19;19;19;0;0:00:00
MediaIQ;202105;desktop;SDPCrossixSegment.NU1624UnbrandedSymp.728;5;5;5;5;0;0:00:00
MediaIQ;202105;desktop;SDPSwoopSegment.NU1559Branded.160;5;5;5;60;512;0:08:32
MediaIQ;202105;desktop;SDPSwoopSegment.NU1559Branded.300;12;12;11;102;909;0:15:09
MediaIQ;202105;desktop;SDPSwoopSegment.NU1559Branded.728;26;25;24;168;1901;0:31:41
MediaIQ;202105;desktop;SDPSwoopSegment.NU1623Unbranded50.160;5;5;5;5;0;0:00:00
MediaIQ;202105;desktop;SDPSwoopSegment.NU1623Unbranded50.300;6;6;6;6;0;0:00:00
MediaIQ;202105;desktop;SDPSwoopSegment.NU1623Unbranded50.728;14;14;14;14;0;0:00:00
MediaIQ;202105;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.160;3;3;3;3;0;0:00:00
MediaIQ;202105;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.300;13;13;13;13;0;0:00:00
MediaIQ;202105;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.320;14;14;14;15;5;0:00:05
MediaIQ;202105;desktop;SDPSwoopSegment.NU1624UnbrandedSymp.728;10;10;9;10;0;0:00:00
Medicx;202105;desktop;SDPCustomCaregiver.NU1559Branded.160;15;15;15;135;993;0:16:33
Medicx;202105;desktop;SDPCustomCaregiver.NU1559Branded.300;22;22;22;214;1600;0:26:40
Medicx;202105;desktop;SDPCustomCaregiver.NU1559Branded.728;20;20;20;258;1352;0:22:32
Medicx;202105;desktop;SDPCustomCaregiver.NU1623Unbranded50.160;10;10;10;11;27;0:00:27
Medicx;202105;desktop;SDPCustomCaregiver.NU1623Unbranded50.300;11;11;11;11;0;0:00:00
Medicx;202105;desktop;SDPCustomCaregiver.NU1623Unbranded50.728;3;3;3;3;0;0:00:00
Medicx;202105;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.160;8;8;8;10;54;0:00:54
Medicx;202105;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.300;13;13;12;21;457;0:07:37
Medicx;202105;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.320;18;18;18;18;0;0:00:00
Medicx;202105;desktop;SDPCustomCaregiver.NU1624UnbrandedSymp.728;8;8;8;8;0;0:00:00
Medicx;202105;desktop;SDPCustomPatient.NU1559Branded.160;19;19;18;140;1160;0:19:20
Medicx;202105;desktop;SDPCustomPatient.NU1559Branded.300;32;32;31;279;3231;0:53:51
Medicx;202105;desktop;SDPCustomPatient.NU1559Branded.728;23;23;22;286;1895;0:31:35
Medicx;202105;desktop;SDPCustomPatient.NU1623Unbranded50.160;5;5;5;6;27;0:00:27
Medicx;202105;desktop;SDPCustomPatient.NU1623Unbranded50.300;16;16;15;27;1065;0:17:45
Medicx;202105;desktop;SDPCustomPatient.NU1623Unbranded50.728;6;6;6;6;0;0:00:00
Medicx;202105;desktop;SDPCustomPatient.NU1624UnbrandedSymp.160;8;8;8;8;0;0:00:00
Medicx;202105;desktop;SDPCustomPatient.NU1624UnbrandedSymp.300;7;7;7;7;0;0:00:00
Medicx;202105;desktop;SDPCustomPatient.NU1624UnbrandedSymp.320;7;7;7;7;0;0:00:00
Medicx;202105;desktop;SDPCustomPatient.NU1624UnbrandedSymp.728;4;4;4;4;0;0:00:00
MiQ;202105;desktop;MiQCrossixTargeting.Dermicool_SDP_DTP_TalkToYourDoctor.728;1;1;0;1;0;0:00:00
ParkinsonsNewsToday;202105;desktop;ROS.NU1559Branded.300;2;2;2;2;0;0:00:00
ParkinsonsNewsToday;202105;desktop;ROS.NU1559Branded.728;10;10;10;11;1438;0:23:58
ParkinsonsNewsToday;202105;desktop;ROS.NU1623Unbranded50.300;6;6;5;6;0;0:00:00
ParkinsonsNewsToday;202105;desktop;ROS.NU1623Unbranded50.728;8;8;7;11;331;0:05:31
ParkinsonsNewsToday;202105;desktop;ROS.NU1624UnbrandedSymp.160;1;1;0;1;0;0:00:00
ParkinsonsNewsToday;202105;desktop;ROS.NU1624UnbrandedSymp.300;4;3;2;4;890;0:14:50
ParkinsonsNewsToday;202105;desktop;ROS.NU1624UnbrandedSymp.728;17;16;14;19;184;0:03:04
PulsePoint;202105;desktop;PulsePointConditionPopulation.SD_1624_v3_Symptom.728;1;1;1;1;0;0:00:00
RemedyHealth;202105;desktop;SDPConditionCenter.NU1559Branded.300;7;7;7;9;272;0:04:32
RemedyHealth;202105;desktop;SDPConditionCenter.NU1559Branded.728;6;6;6;8;134;0:02:14
