Campaign;Month;Site (Site Directory);Placement - DCM;Creative;Creative Dimensions;Platform Type;Impressions;Clicks
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;1202;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Health Union;SD.net Premium Display AV;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;196;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;160x600;;13771;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;300x250;;75313;61
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;728x90;;12106;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;160x600;;13735;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;300x250;;74780;41
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;320x50;;807206;872
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;728x90;;12035;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;30806;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;161568;103
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;34716;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1623_v3_50;160x600;;2326;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1623_v3_50;300x250;;30295;21
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1623_v3_50;728x90;;20953;59
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;160x600;;2335;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;300x250;;30302;28
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;320x50;;129161;208
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;728x90;;21148;51
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;15160;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;134139;85
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;68544;84
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1623_v3_50;160x600;;3295;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1623_v3_50;300x250;;30219;31
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1623_v3_50;728x90;;16892;30
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;160x600;;3353;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;300x250;;30420;29
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;320x50;;126753;180
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;SD_1624_v3_Symptom;728x90;;16868;25
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;16122;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;117911;80
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;73628;57
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;MyHealthTeams, Inc.;MyParkinsonsTeam ROS;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;1248;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Skin Disease News Today;Skin Disease News Today ROS;SD_1623_v3_50;300x250;;11151;50
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Skin Disease News Today;Skin Disease News Today ROS;SD_1623_v3_50;728x90;;13092;9
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Skin Disease News Today;Skin Disease News Today ROS;SD_1624_v3_Symptom;300x250;;11386;42
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Skin Disease News Today;Skin Disease News Today ROS;SD_1624_v3_Symptom;728x90;;13024;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Skin Disease News Today;Skin Disease News Today ROS;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;19214;64
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Skin Disease News Today;Skin Disease News Today ROS;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;19700;9
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;SD_1623_v3_50;160x600;;2567;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;SD_1623_v3_50;300x250;;26013;70
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;SD_1623_v3_50;728x90;;3982;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;SD_1624_v3_Symptom;160x600;;2695;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;SD_1624_v3_Symptom;300x250;;25882;82
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;SD_1624_v3_Symptom;728x90;;3885;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;6267;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;54854;104
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Member Reach;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;8724;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Sharecare;Skin Disease Performance Display;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;2153;21
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1623_v3_50;160x600;;992;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1623_v3_50;300x250;;4598;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1623_v3_50;728x90;;154627;294
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;160x600;;1012;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;300x250;;4421;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;SD_1624_v3_Symptom;728x90;;154846;297
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;2078;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;10264;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Swoop;Skin Disease Claim-Based Custom Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;407530;537
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;SD_1623_v3_50;160x600;;7304;13
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;SD_1623_v3_50;300x250;;52880;96
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;SD_1623_v3_50;728x90;;19581;21
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;SD_1624_v3_Symptom;160x600;;7410;22
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;SD_1624_v3_Symptom;300x250;;52661;80
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;SD_1624_v3_Symptom;728x90;;19425;31
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;13385;15
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;98546;115
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Audience Targeting Media - SD Only;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;35991;14
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1623_v3_50;160x600;;106;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1623_v3_50;300x250;;931;9
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1623_v3_50;728x90;;272;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1624_v3_Symptom;160x600;;99;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1624_v3_Symptom;300x250;;943;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;SD_1624_v3_Symptom;728x90;;231;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;403;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;2690;23
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Dermicool Drug Monograph on WebMD.com AV;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;751;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;SD_1623_v3_50;160x600;;10013;19
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;SD_1623_v3_50;300x250;;60335;102
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;SD_1623_v3_50;728x90;;24095;30
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;SD_1624_v3_Symptom;160x600;;10218;20
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;SD_1624_v3_Symptom;300x250;;59945;132
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;SD_1624_v3_Symptom;728x90;;23857;35
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;19286;27
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;138261;171
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;WebMD;Rotational Banner on SD condition center;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;49713;21
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;160x600;;88315;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;300x250;;199292;315
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;728x90;;109607;31
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;160x600;;88358;11
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;300x250;;199464;305
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;320x50;;931113;929
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;728x90;;108878;27
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;259567;13
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;363477;29
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-01;Zeta Global;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;287526;17
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1623_v3_50;160x600;;407;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1623_v3_50;300x250;;5523;51
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1623_v3_50;728x90;;730;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;160x600;;351;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;300x250;;5329;53
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;320x50;;4222;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;SD_1624_v3_Symptom;728x90;;733;5
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;759;8
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;9507;53
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Condition Center Sponsorship;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;1367;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1623_v3_50;160x600;;47;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1623_v3_50;300x250;;660;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1623_v3_50;728x90;;109;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;160x600;;40;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;300x250;;607;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;320x50;;635;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;SD_1624_v3_Symptom;728x90;;97;1
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;107;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;1714;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;284;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1623_v3_50;160x600;;28;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1623_v3_50;300x250;;470;7
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1623_v3_50;728x90;;105;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;160x600;;24;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;300x250;;452;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;320x50;;461;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;SD_1624_v3_Symptom;728x90;;82;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;79;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;1268;4
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Health Union;SD.net Premium Display AV;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;224;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;160x600;;31245;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;300x250;;92207;58
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1623_v3_50;728x90;;47106;13
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;160x600;;31036;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;300x250;;92030;62
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;320x50;;669080;628
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;SD_1624_v3_Symptom;728x90;;47536;9
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;60051;10
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;170319;80
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Media IQ;Skin Disease Crossix Segment Targeting;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;99310;16
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1623_v3_50;160x600;;17533;6
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1623_v3_50;728x90;;32808;23
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1624_v3_Symptom;160x600;;17561;3
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1624_v3_Symptom;320x50;;162938;194
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;SD_1624_v3_Symptom;728x90;;32806;26
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;Dermicool_SDP_DTP_TalkToYourDoctor;160x600;;48068;23
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;Dermicool_SDP_DTP_TalkToYourDoctor;300x250;;1;0
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Caregiver;Dermicool_SDP_DTP_TalkToYourDoctor;728x90;;138242;121
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1623_v3_50;160x600;;6383;2
200 Arabia Dermicool FY21 SDP DTP Media PT;2021-02;Medicx;Skin Disease Dx Signal-Based Custom Segment Targeting_Patient;SD_1623_v3_50;300x250;;35578;23
